rotten_tomatoes_link,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count,release_year,streaming_release_year,release_month,streaming_month
m/10011494-last_ride,Fresh,93.0,28.0,Upright,65.0,3560.0,10,26,2,2012,2016,6,8
m/10011582-TRON_legacy,Rotten,51.0,243.0,Upright,63.0,171610.0,54,123,120,2010,2015,12,11
m/10011647-canyon,Rotten,27.0,15.0,Spilled,32.0,613.0,6,4,11,2009,2013,10,11
m/10011699-leslie_my_name_is_evil,Fresh,67.0,9.0,Spilled,27.0,2341.0,2,6,3,2009,2017,9,1
m/10011721-broken_hill,Rotten,50.0,6.0,Upright,61.0,310.0,2,3,3,2009,2016,9,11
m/10011735-beautiful_life,Rotten,0.0,12.0,Spilled,24.0,147.0,8,0,12,2009,2019,10,5
m/10011736-suck,Rotten,50.0,10.0,Spilled,53.0,1880.0,2,5,5,2010,2016,8,8
m/10011774-chloe,Rotten,51.0,163.0,Spilled,39.0,30602.0,46,83,80,2010,2012,3,4
m/1001180-armed_and_dangerous,Rotten,10.0,10.0,Spilled,39.0,9340.0,2,1,9,1986,2012,8,4
m/10011815-hole,Fresh,81.0,36.0,Spilled,46.0,14727.0,8,29,7,2012,2016,9,8
m/10011846-nobodys_perfect,Fresh,73.0,11.0,Upright,87.0,85.0,6,8,3,2008,2016,9,9
m/10011857-high_life,Fresh,80.0,5.0,Spilled,43.0,631.0,2,4,1,2009,2016,9,12
m/1001193-around_the_world_in_80_days,Fresh,69.0,42.0,Spilled,57.0,33440.0,9,29,13,1956,2017,10,3
m/10011944-good_heart,Rotten,30.0,37.0,Spilled,58.0,1590.0,17,11,26,2010,2017,4,1
m/10011946-wonderful_world,Rotten,42.0,31.0,Spilled,33.0,1741.0,15,13,18,2010,2016,1,1
m/10011984-last_song,Rotten,21.0,120.0,Upright,66.0,160802.0,35,25,95,2010,2016,3,8
m/10012014-babies,Fresh,68.0,116.0,Upright,62.0,35022.0,36,79,37,2010,2015,5,5
m/10012039-lottery_ticket,Rotten,34.0,82.0,Spilled,44.0,29996.0,24,28,54,2010,2012,8,4
m/10012042-going_the_distance,Rotten,54.0,167.0,Spilled,52.0,57438.0,39,90,77,2010,2012,9,9
m/10012044-life_as_we_know_it,Rotten,29.0,151.0,Upright,61.0,82457.0,41,44,107,2010,2013,10,6
m/10012051-frozen,Fresh,63.0,97.0,Spilled,46.0,20649.0,32,61,36,2010,2016,2,11
